title,url,id,author
Adventures of Huckleberry Finn,https://www.gutenberg.org/ebooks/19640,19640,Mark Twain
The Moon and Sixpence,https://www.gutenberg.org/ebooks/222,222,W. Somerset Maugham
The Murder on the Links,https://www.gutenberg.org/ebooks/58866,58866,Agatha Christie
Man and Superman: A Comedy and a Philosophy,https://www.gutenberg.org/ebooks/3328,3328,Bernard Shaw
Far from the Madding Crowd,https://www.gutenberg.org/ebooks/107,107,Thomas Hardy
Justice,https://www.gutenberg.org/ebooks/2911,2911,John Galsworthy
The Legends of King Arthur and His Knights,https://www.gutenberg.org/ebooks/12753,12753,Sir Thomas Malory and Sir James Knowles
"Life in the Iron-Mills; Or, The Korl Woman",https://www.gutenberg.org/ebooks/876,876,Rebecca Harding Davis
An Ideal Husband,https://www.gutenberg.org/ebooks/885,885,Oscar Wilde
Rip Van Winkle,https://www.gutenberg.org/ebooks/60976,60976,Washington Irving
Cyropaedia: The Education of Cyrus,https://www.gutenberg.org/ebooks/2085,2085,Xenophon
Der Zauberberg. Erster Band (German),https://www.gutenberg.org/ebooks/65661,65661,Thomas Mann
Scaramouche: A Romance of the French Revolution,https://www.gutenberg.org/ebooks/28945,28945,Rafael Sabatini
Pollyanna,https://www.gutenberg.org/ebooks/1450,1450,Eleanor H. Porter
孽海花 (Chinese),https://www.gutenberg.org/ebooks/25128,25128,Pu Zeng
The Canterville Ghost,https://www.gutenberg.org/ebooks/14522,14522,Oscar Wilde
Shakespeare's Tragedy of Romeo and Juliet,https://www.gutenberg.org/ebooks/47960,47960,William Shakespeare
Les liaisons dangereuses (French),https://www.gutenberg.org/ebooks/52006,52006,Choderlos de Laclos
